Hora;Mes;Hidraul;Eolica;Demanda;Ciclocomb;Cogener;Nuclear;Carbon;Clases
22;1;1642.5;14905.8;28608.3;1181.9;3471.6;6043.8;4242.6;0
23;1;1507.6;15247.1;27661.1;1274.3;3444.8;6043.8;3404.2;0
0;1;1400.4;14830.5;25483.4;1118;3344.3;6046.1;3140;0
1;1;1338;14421.4;23212.8;1118;3283.9;6046.1;2966;0
2;1;1332.5;14053.9;21926.4;1118;3269.4;6046.1;2742;0
3;1;1329.4;13679.8;21379.6;1118;3257.2;6046.1;2609;0
4;1;1329.9;13369.4;21220.9;1118;3250.2;6046.1;2609;0
5;1;1330;13084.9;20853.1;1118;3283;6046.1;2622;0
6;1;1367.5;12850.2;21257.9;1002.5;3292.3;6046.1;2682;0
7;1;1492;12369.4;24591.9;814;3350.2;6046.1;4661.1;0
8;1;1814.3;12136.3;27639.6;1004.2;3499.4;6046.1;4715;0
9;1;2342.3;12154.9;28379.4;1006;3494.8;6046.1;4715;0
10;1;2343.4;12316.1;28733.5;973.4;3493.2;6046.1;4815;0
11;1;2330.8;12801.6;28512.9;958.7;3482.5;6046.1;4815;0
12;1;1875.2;13361.8;28253.2;1004.2;3429;6046.1;4673.8;0
13;1;1735.5;13762.7;28405.9;942.6;3414.1;6045.1;4782.8;0
14;1;1640.6;13859.2;28191.7;1023.4;3444.2;6045.1;4732.8;0
15;1;1670.7;13596.5;27287.7;1188.8;3454.5;6045.1;4720.6;0
16;1;1672.5;13067.4;26721.3;1449.5;3454;6045.1;4782.8;0
17;1;2112.9;12596.8;26123.2;1529.3;3550.1;6045.1;4803.2;0
18;1;2552.8;12103.6;28011.6;2277.4;3588.7;6045.1;4657.5;0
19;1;3087.8;11741;29000.8;3418.9;3596.9;6045.1;4605.2;0
20;1;3312.5;11590.8;29386.4;3687.6;3614.2;6045.1;4658.4;1
21;1;3249.1;11618.7;29424.4;3530.6;3610.1;6045.1;4762;1
22;1;2697.1;11377;27605.2;2515.7;3599.8;6045.1;4612;0
23;1;1914.8;10858.6;24721;1264.5;3501.5;6045.1;4488;0
0;1;1268.8;8775.1;23624.4;1133.3;3051.8;6044.4;6237.5;0
1;1;1061.2;8372.1;21917.1;1028.3;3125;6044.4;5457.5;0
2;1;1056.8;8086.2;20570.2;938.3;3258.2;6045.4;4644.6;0
3;1;1054.1;7730.7;19909.3;938.3;3263.3;6045.4;4355.4;0
4;1;1054.4;7399.2;19607.6;953.3;3249.2;6045.4;4362.4;0
5;1;1073.8;6958;20167;993.3;3125.4;6045.4;5150.5;0
6;1;1327.2;6718.9;21925.7;1218.3;3218.7;6045.4;6245.8;0
7;1;3405.1;6426.8;26411.5;2695;3375.7;6045.4;6200;1
8;1;4509.8;6292.9;29088.6;3776;3471.6;6045.4;6170;1
9;1;4675.6;5833.3;30177.5;4585;3495.7;6045.4;6200;1
10;1;4343.9;5476.4;30883.1;4585;3556.3;6045.4;6200;1
11;1;4136.1;5240.1;30505.6;4585;3481.9;6044.4;6200;1
12;1;3657.3;5084.7;30152.9;4934;3475.5;6044.4;6200;1
13;1;3741.5;5057.5;30261.9;4934;3466.3;6044.4;6200;1
14;1;3186.7;4994.7;29567.6;4887;3463.7;6044.4;6203.8;1
15;1;3020.1;4975.8;28891.8;4887;3456.6;6044.4;6230.5;1
16;1;3259.6;4974.4;28180.5;4887;3456.9;6044.4;6200;1
17;1;3521.6;4988.7;27817.8;4887;3543.6;6044.4;6189.5;1
18;1;4431.1;5125.5;28911.5;4585;3569.5;6044.4;6200;1
19;1;4865.5;5119.3;29346.4;4585;3554.1;6044.4;6200;1
20;1;5058.8;5134.2;29633.4;4585;3547.7;6044.4;6200;1
21;1;4970.1;5205.6;29403.7;4739;3540.2;6044.4;6200;1
22;1;3868.7;5098.8;27535.1;3613.6;3530.3;6044.4;6170;1
23;1;3161.6;5106.2;25116.7;2450.6;3361.8;6044.4;6113.1;1
0;1;1725.4;5269.2;22104.9;1459.6;3224.4;6046.3;6504.8;0
1;1;1285.5;5237.2;20030.8;1357.6;3192.9;6046.3;5474.1;0
2;1;1212.3;5030;18705.6;1250.6;3183.7;6046.3;4793.6;0
3;1;1210.5;4805.7;17961;950.6;3195.4;6046.3;4583.6;0
4;1;1238.5;4533.6;17813.1;950.6;3191;6046.3;4684.5;0
5;1;1236.8;4254.3;17512.3;950.6;3168.6;6046.3;4673.6;0
6;1;1204.6;4090.4;17803.8;1000.6;3160.2;6046.3;4776.6;0
7;1;1407.6;4060.6;19133.8;1180.6;3192.2;6046.3;5633.9;0
8;1;1427;4001.9;20961.7;1701.5;3197.4;6046.3;5720.5;0
9;1;2195.5;4019.5;23787.1;2207.5;3299.9;6046.3;6325;0
10;1;3624.7;3947.1;25342.1;2500.4;3290.7;6046.3;6325;1
11;1;3574.6;3897.6;25545.5;2500.4;3264.5;6046.3;6325;1
12;1;3168.1;3732.5;25130.9;2500.4;3264.3;6046.3;6325;0
13;1;2733.4;3898.7;25361;2460.3;3254.8;6103.3;6325;0
14;1;2327.5;4068.1;25133.4;2280.4;3226.9;6122.3;6325;0
15;1;1912.5;4245.7;24093.5;1778.9;3234.2;6137.3;6234.9;0
16;1;1854.9;4229.9;23354.8;1778.9;3235.4;6204.3;5928.7;0
17;1;1887.1;4033.1;23158.3;1748.1;3239.6;6275.3;6322.8;0
18;1;3218.5;4167.5;25281.6;2603.8;3296;6309.3;6322.2;1
19;1;4269.1;4201.5;26012.1;2603.8;3320.1;6352.3;6323.2;1
20;1;4254.5;4426.4;26528.7;2638;3327;6392.3;6325;1
21;1;4383.3;4704.3;26678.4;2603.8;3314.7;6435.3;6294.5;1
22;1;3153.2;5069.9;25464;2619.7;3274.3;6476.3;6325;0
23;1;2089.5;5322.5;23396.9;2247.9;3215.7;6518.3;6240;0
0;1;1406.4;6466.2;20931.9;1107.6;3097.7;6561.6;5178.5;0
1;1;1438.1;6565.3;19640.6;1076.6;3199.9;6604.6;4094.4;0
2;1;1387.5;6569.2;18899.5;985.6;3172.9;6645.6;3407.8;0
3;1;1566.3;6406.9;18556;835.6;3175.7;6687.6;3275.6;0
4;1;1347.8;6269.6;18559.3;835.6;3178.5;6726.6;3275.6;0
5;1;1621.4;6060;18344.6;835.6;3187.5;6749.6;3275.6;0
6;1;1245;5840.3;18033.8;785.6;3122.6;6771.6;3287.8;0
7;1;1273.8;5607;17868;785.6;3135.1;6789.6;3654;0
8;1;1373.1;5583.5;18224.6;835.6;3209.6;6811.6;4000.5;0
9;1;1349.2;5371.7;19627.6;835.6;3089;6833.6;4981.8;0
10;1;1694.3;5279.7;21830.2;825;3112.9;6851.6;5475.3;0
11;1;1801.4;5201.6;22986.1;1515;3143.7;6873.6;5513.1;0
12;1;1838.4;5135.5;23136.6;1675;3135.5;6893.6;5645.1;0
13;1;2061;5062.9;23612.3;1675;3146.2;6913.6;5885;0
14;1;2027.1;5079.9;23634.6;1675;3105;6934.6;5935;0
15;1;1781.2;4828;22319.1;1606.5;3125.2;6956.6;5575.5;0
16;1;1811.8;4638;21576.7;1606.5;3128.5;6976.6;5475.3;0
